layer,lens_top1_agreement,excess_kurtosis,pos_autocorr_dlogp,effective_dim_pr
0,0.0,2.9268561300103055,-0.04488059464953536,8.262311935424805
1,0.0,2.08586882853227,1.4904550533346554,6.882364273071289
2,0.0,2.5103395588270447,1.7290696449314369,6.1543779373168945
3,0.0,2.1729750715378513,1.8995568283233228,28.746126174926758
4,0.0,2.4516361613545974,3.660551567458069,28.750816345214844
5,0.0,1.7208066163880114,4.054684069193393,22.83757781982422
6,0.0,1.6688329120819285,3.3776581557577345,23.58085823059082
7,0.0,1.513225351369932,2.441898072727788,23.72937774658203
8,0.00045330915684496827,1.4554227204724863,3.329909130106811,28.73872184753418
9,0.0013599274705349048,1.2011979761063134,4.763207166711525,37.2212028503418
10,0.006346328195829556,1.168965063847311,6.1305078279939655,48.6361083984375
11,0.004986400725294651,1.3154497189837375,5.88778943833933,37.27367401123047
12,0.003173164097914778,0.9802499669093169,5.8219416351180024,39.696598052978516
13,0.004986400725294651,0.872751037099636,6.097658629430389,43.6550178527832
14,0.004533091568449683,0.6843819207531262,6.480017266917639,40.805667877197266
15,0.005439709882139619,0.6116754388333664,7.128837993549198,54.565006256103516
16,0.009972801450589302,0.5419122880951233,7.1256199799552356,75.90594482421875
17,0.019038984587488667,0.4847820200708273,8.13898028791329,70.29064178466797
18,0.029918404351767906,0.49234664861656596,7.762320911895116,120.24407196044922
19,0.06708975521305531,0.7163400088022324,8.23620987284324,196.44662475585938
20,0.11423390752493201,0.898285918525426,7.366876071297031,201.9022979736328
21,0.18177697189483227,1.157102316807101,7.015148283888401,215.8463134765625
22,0.24206708975521304,1.1979407572465275,6.113847609768104,238.24632263183594
23,0.300090661831369,1.2957777402018378,5.867600856860551,237.7394561767578
24,0.37216681776971894,1.2854797384032097,5.654835068952573,258.46624755859375
25,0.4546690843155032,0.9787374826744266,4.085151457937869,284.87689208984375
26,0.6110607434270172,0.8079598877285139,2.4195345258669536,30.072078704833984
