prompt_id,layer,position,rank_intermediate,rank_answer
0,0,10,72428,40333
0,0,11,80967,79788
0,0,12,9150,1391
0,0,13,22123,5899
0,0,14,15067,11388
0,0,15,25958,265
0,1,10,93570,51529
0,1,11,91911,54941
0,1,12,21225,5226
0,1,13,37604,11530
0,1,14,24668,15872
0,1,15,25204,548
0,2,10,79094,57553
0,2,11,57228,31350
0,2,12,9751,2741
0,2,13,22208,14386
0,2,14,17954,17577
0,2,15,9184,656
0,3,10,59709,32599
0,3,11,44490,39383
0,3,12,11392,8193
0,3,13,12898,12459
0,3,14,8598,9607
0,3,15,7899,592
0,4,10,37693,8445
0,4,11,38257,24203
0,4,12,3722,1279
0,4,13,6760,5045
0,4,14,10655,3361
0,4,15,10358,474
0,5,10,5604,1181
0,5,11,18918,12882
0,5,12,441,1800
0,5,13,495,603
0,5,14,2221,1299
0,5,15,1906,280
0,6,10,673,195
0,6,11,10275,3691
0,6,12,104,342
0,6,13,66,22
0,6,14,1234,440
0,6,15,1191,65
0,7,10,229,26
0,7,11,10700,937
0,7,12,44,30
0,7,13,154,20
0,7,14,847,145
0,7,15,1593,70
0,8,10,113,5
0,8,11,5681,695
0,8,12,38,55
0,8,13,21,6
0,8,14,258,83
0,8,15,391,30
0,9,10,221,11
0,9,11,4767,206
0,9,12,30,33
0,9,13,23,3
0,9,14,391,61
0,9,15,412,19
0,10,10,254,11
0,10,11,695,68
0,10,12,65,46
0,10,13,67,7
0,10,14,356,53
0,10,15,593,36
0,11,10,599,48
0,11,11,2019,181
0,11,12,79,60
0,11,13,58,15
0,11,14,295,46
0,11,15,502,33
0,12,10,215,33
0,12,11,338,79
0,12,12,58,51
0,12,13,38,9
0,12,14,175,31
0,12,15,299,29
0,13,10,166,29
0,13,11,339,123
0,13,12,29,48
0,13,13,12,9
0,13,14,86,30
0,13,15,188,20
0,14,10,28,2
0,14,11,189,215
0,14,12,12,76
0,14,13,2,4
0,14,14,41,20
0,14,15,135,14
0,15,10,47,3
0,15,11,102,170
0,15,12,4,58
0,15,13,2,14
