block,layer,position,prompt,rank_intermediate,rank_answer
ic,0,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,47248,91861
ic,0,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,14797,8546
ic,0,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,87296,127560
ic,0,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,91394,72574
ic,0,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,66328,86075
ic,0,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,36385,97444
ic,1,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,12196,16828
ic,1,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,4188,1728
ic,1,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,53095,86057
ic,1,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,85715,68529
ic,1,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,96389,88846
ic,1,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,24003,62789
ic,2,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,31719,40075
ic,2,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,10877,7410
ic,2,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,61253,110379
ic,2,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,97010,90157
ic,2,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,104153,116242
ic,2,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,30832,85188
ic,3,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,6506,6490
ic,3,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,8097,5831
ic,3,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,63309,87624
ic,3,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,43346,32709
ic,3,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,83048,78503
ic,3,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,22136,65510
ic,4,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,11644,11088
ic,4,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,9483,7861
ic,4,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,106334,130904
ic,4,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,108643,92780
ic,4,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,117699,109588
ic,4,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,12778,42421
ic,5,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,1871,694
ic,5,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,3225,1805
ic,5,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,53410,78239
ic,5,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,90678,75903
ic,5,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,77923,51890
ic,5,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,7561,25516
ic,6,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,2719,1185
ic,6,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,8553,5539
ic,6,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,50544,72115
ic,6,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,95565,73300
ic,6,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,84479,62992
ic,6,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,3931,13446
ic,7,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,810,526
ic,7,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,6399,6162
ic,7,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,48616,79946
ic,7,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,64971,33370
